smiles,solub
Cc1ccc(cc1)n2c(C)cc(c2C)c3nnc4CCCCCn34,1.0
COc1ccc2ncc(C(=O)N3CCC(F)(F)CC3)c(N4CCC5(CC4)OCCO5)c2c1,1.0
Cc1ccccc1C(=O)N2CCc3cc(ccc23)N4CCC(N)C4,1.0
CC(C)CCn1c(Oc2ccc(cc2)N3CCCC3=O)nc4N(C)C(=O)N(C)C(=O)c14,1.0
CC(C)CCNc1cc(ccn1)S(=O)(=O)NC(=O)c2[nH]c3c(c(Cl)ccc3c2CCCOc4cc(C)c(Cl)c(C)c4)c5c(C)nn(C)c5C,0.0
Cc1ccc(cc1)S(=O)(=O)Nc2cnccc2C(=O)Nc3ccc(cc3)C#N,1.0
Cc1ccnc(NC(=S)N2CCC(CC2)c3cccc(c3)C(F)(F)F)c1,0.0
CCOc1ccc(CCNC(=O)c2cc3ncccc3n2CCN4CCOCC4)cc1OCC,1.0
Fc1c(Cl)cccc1CNc2ccc(cc2)S(=O)(=O)Nc3ccccc3,0.0
COc1ccc(Cl)c(c1)N2C3=C(C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5)C(=O)CC(C)(C)C3,0.0
Fc1ccc(CN2CCC(CC2)N(CCc3ccccc3)Cc4ccccc4)cc1,1.0
COc1ccc(cc1)n2ncc3C(CCCc23)NC(=O)c4ccc(OC(F)(F)F)cc4,0.0
Oc1ccc(cc1)C(=S)N2CCN(CC2)c3cccc(Cl)c3,0.0
CN1CCN(CC1)c2nc(Nc3ccc(F)c(F)c3)c4ccccc4n2,1.0
COc1ccc(OC)c(c1)N2C(=O)C(=C(N3CCCCC3)C2=O)Cl,0.0
CC1=C(C(N=C(Nc2oc3ccccc3n2)N1)c4ccccc4Br)C(=O)Nc5ccccc5,0.0
Cc1ccc(CN(CCNC(=O)C2CCN(CC2)C(=O)c3oc4ccccc4c3)C5CCCCC5)cc1,1.0
Cc1ccc(cc1)S(=O)(=O)Nc2cnccc2C(=O)Nc3ccc(cc3)n4cncn4,1.0
CCOc1ccc(CNc2ccc3N(C)CCc3c2)cc1,1.0
CCCCCCCCn1cc(CC(=O)N)c2cc(ccc12)c3cccc(C)c3,0.0
CC(C)N1CCC(CC1)N2CCN(Cc3oc(nc3)c4ccccc4Cl)CC2CCO,1.0
Cc1cc(OCCCc2c(C)c([nH]c2C(=O)O)c3cccc(Cl)c3)cc(C)c1Cl,0.0
Cc1ccc(cc1C)c2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)N)c4ccccc4n2,0.0
Cc1onc(C)c1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5)C(=O)CC(C)(C)C3,0.0
CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2ccc(C)c(I)c2)cc1,0.0
[O-][n+]1onc(C(=O)c2ccc3ccccc3c2)c1C(=O)c4ccc5ccccc5c4,0.0
CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc(c2)S(=O)(=O)Nc3ccc(Br)cc3)c1C,0.0
Cc1ccc(C)n1c2ccccc2C(=O)O,1.0
FC(F)(F)c1cccc(c1)N2CCN(CC2)C(=S)Nc3nccc4ccccc34,0.0
CCc1cccc(CC)c1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccccc5C(F)(F)F)C(=O)CC(C)(C)C3,0.0
OCc1ccccc1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5)C(=O)CCC3,0.0
COc1ccc(cc1)n2ncc3C(CCCc23)NC(=O)c4ccc(F)c(F)c4,0.0
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(=O)NCC3(CCCCC3)N4CCCCC4,1.0
CCc1cccc(CC)c1N2C(=C(C=C(C2=O)c3nc(cs3)c4ccc(Cl)cc4)C(=O)NC5CCC(N)CC5)C,1.0
COc1ccc(CN2C(=O)Nc3cc(ccc3C2=O)C(=O)NCCCN4CCC(C)CC4)cc1,1.0
CCN(CC)C(=O)c1ccc(NC(=O)c2ccc(OC)c(I)c2)cc1,0.0
