smiles,herg
Nc1ncnc2c1ncn2[C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)(O)OC[C@@H]4O[C@@H]([C@@H](O)[C@@H]4O)n5cnc6c(N)ncnc56)[C@H](O)[C@H]3O,0.0
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0.0
Cc1cccc(Nc2ncccc2C(=O)O)c1C,0.0
O=C1NCN(c2ccccc2)C13CCN(CC4COc5ccccc5O4)CC3,1.0
CCCN(CCC)[C@@H]1CCc2ccc(O)cc2C1,1.0
CN(N=O)c1ccc(O)c(O)c1,0.0
Oc1ccc(\C=C(/C#N)\C(=O)Nc2ccccc2)cc1O,0.0
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,0.0
Nc1ccc(C(=O)[O-])c(O)c1,0.0
COC(=O)C1=C(C)NC(=C(C1c2ccccc2OC(F)F)C(=O)OC)C,0.0
COC(=O)[C@H](NC(=O)c1cc(nc2ccccc12)c3ccccc3)c4ccccc4,1.0
CC(C)(C)c1ccc(O)cc1,0.0
CCOC(=O)[N-]c1on[n+](c1)N2CCOCC2,0.0
Cc1ccc2c(c1)c3CCCC4NCCn2c34,0.0
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,0.0
CCC12CCC3C(CCC4=CC(=O)CCC34)C1C=CC2(O)C#C,0.0
COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC,0.0
CC1=CC(=O)Oc2cc(O)ccc12,0.0
OC(=O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,0.0
C(C1=NCCN1)c2ccc3ccccc3c2,0.0
OC(=O)[C@@H]1CCC(=O)N1,0.0
CCCCCCCCCCCC(=O)OCC(O)CO,0.0
CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O,0.0
CC(=O)Nc1ccc(\C=N\NC(=S)N)cc1,0.0
CC(=O)Oc1ccc(C)cc1,0.0
CC(=O)Oc1ccccc1C(=O)O,0.0
CC1CC[C@]2(NC1)OC3C4CCC5CC(CC[C@@]5(C)C4CC[C@]3(C)C2C)O[C@H]6O[C@@H](CO)[C@H](O[C@@H]7OC(CO)[C@H](O)[C@@H](OC8OCC(O)[C@@H](O)[C@@H]8O[C@H]9OC(CO)C(O)C(O)C9O)C7O)C(O)C6O,1.0
NC(=N)c1ccccc1,0.0
CC(=O)Oc1ccc(cc1)C(=C2CCCCC2)c3ccc(OC(=O)C)cc3,0.0
COC(=O)c1cc2c(cn1)[nH]c3ccccc23,0.0
CC1CC[C@@]2(NC1)OC3CC4C5CC[C@@H]6CC(O)CC[C@@]6(C)C5CC[C@]4(C)C3C2C,0.0
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)c5nccc(O)n5,1.0
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,0.0
NCCCCCCCCCCN,0.0
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,0.0
CCC(=O)O[C@]1(C(C)CC2C3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)C(O)C[C@@]12C)C(=O)CCl,0.0
NC(Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0.0
OC[C@@H](O)C(O[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,0.0
Oc1ccc(Cl)c2CCCc12,0.0
CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C,0.0
Clc1nccc2c1ccc3ccccc23,0.0
CC(=O)NBr,0.0
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,0.0
CN(C)[C@@H]1[C@@H]2C[C@H]3C(=C(O)[C@@]2(O)C(=O)C(=C1O)C(=O)NCN[C@@H](CCCCN)C(=O)O)C(=O)c4c(O)cccc4[C@@]3(C)O,0.0
N[C@@H](CCCNC(=N)N)C(=O)O,0.0
CC(C)[C@@H](N)C(=O)O,0.0
CC(C)(C(=O)c1cccnc1)c2cccnc2,0.0
Cc1cccc(C(=O)O)c1O,0.0
NCCSC(=N)N,0.0
Nc1ncnc2c1ncn2[C@@H]3O[C@@H]([C@H](O)[C@H]3O)C(=O)NC4CC4,0.0
CCC1(C(=O)NCNC1=O)c2ccccc2,0.0
CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,0.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc3ccc(F)cc3,0.0
O=C1C[C@@H]2OCC=C3CN4CC[C@@]56[C@@H]4C[C@@H]3[C@H]2[C@H]5N1c7ccccc67,1.0
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]3CCC(=O)N3,0.0
CC12CCC(=O)C=C1CC[C@@H]3[C@@H]2CCC4(C)[C@H]3CC[C@@]4(O)C#C,0.0
[S-]C(=S)N1CCCC1,1.0
O[C@H]1C[C@H](OCc2ccc(cc2)c3ccccc3)[C@H](CC\C=C/CCC(=O)O)[C@H]1N4CCCCC4,1.0
CCN(CC)CCOC(=O)c1ccc(N)cc1,0.0
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c2ncccn2,1.0
OC(=O)c1ccccc1OC(=O)c2ccccc2O,0.0
CN(C)CCOC(=O)[C@@H](c1ccccc1)C2(O)CCCC2,0.0
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,0.0
CO\N=C(/C(=O)N[C@H]1[C@@H]2SCC(=C(N2C1=O)C(=O)[O-])COC(=O)C)\c3csc(N)n3,0.0
CCCCNc1ccc(cc1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,0.0
CC(C)(S)[C@@H](N)C(=O)O,0.0
C[C@]12CC[C@H]3[C@@H](CCc4cc(OC5CCCC5)ccc34)[C@@H]1CC[C@@]2(O)C#C,0.0
COc1cc(cc(OC)c1OC)C(=O)NCc2ccc(OCCN(C)C)cc2,0.0
Oc1ncnc2[nH]ncc12,0.0
CC[N+](CC)(CC)COc1ccc(\C=C\c2ccccc2)cc1,1.0
CNc1ncnc2c1ncn2[C@@H]3O[C@H](CO)[C@H](O)[C@H]3O,0.0
CCCN1C(=O)N(CCC)c2[nH]c(nc2C1=O)C3CCCC3,0.0
NC(=O)Oc1ccc(Cc2ccccc2)cc1,0.0
CC(C(=O)O)c1ccc2Oc3ncccc3Cc2c1,0.0
