smile,solub
Cc1cc(Cl)c(OCCOCCN2CCNCC2)c(Cl)c1,1
COc1cccc(CN(C)S(=O)(=O)c2cccs2)c1,1
O=C(CN1C(=O)NC2(CCCCCCC2)C1=O)NCc3ccccc3,1
COc1ccc(NC(=S)NCCCN2CCOCC2)cc1,1
CC(C)C(=O)NNC(=O)c1sc(nc1C)c2ccc(Cl)cc2,0
CN(CC(=O)N1CCN(Cc2ccccc2)CC1)C(=O)Cc3ccc(Cl)c(Cl)c3,1
CC(=O)\C(=C\1/NC(=O)C(Cc2ccc(F)cc2)S1)\C#N,1
C1CN(CCO1)c2nc(cs2)c3oc4ccccc4c3,0
CC(=O)NNC(=O)CCn1nnc(n1)c2ccc(Cl)cc2,1
COc1ccc(CC(=O)Oc2ccc(cc2)C#N)cc1,1
Cc1ccc(NC(=S)N2CCC(C2)c3ccccc3)c(Cl)c1,0
CC(=O)Nc1ccc(OCCOc2ccccc2C(=O)C)cc1,1
Cc1nc2cc(NS(=O)(=O)c3ccccc3F)ccc2s1,1
CS(=O)(=O)c1ccc(Cl)c(NC(=O)Nc2ccccc2)c1,0
Cc1cccc2c(CN3CCC(CO)(Cc4ccccc4)CC3)c(C)[nH]c12,1
O=C(NCc1cccnc1)Nc2cccc(c2)N(=O)=O,1
CCN(CC)CC(=O)C1=C(N)N(Cc2ccccc2)C(=O)N(C)C1=O,1
CN1C=C(C(=O)N(C)C1=O)S(=O)(=O)Nc2ccc(OC(F)(F)F)cc2,1
O=C(CSc1ncccn1)N2CCCc3ccccc23,1
COc1cc(OC)cc(c1)C(=O)Nc2ccn(C)n2,1
OC(=O)CC1(CC(=O)NCc2ccc(cc2)C(F)(F)F)CCCCC1,1
OC(c1cccc(c1)N(=O)=O)C23CN4CN(CN(C4)C2)C3,1
CC(C)N(CC1CCC(=O)N1)Cc2onc(n2)c3ccc4OCOc4c3,1
OC(=O)c1ccccc1c2ccccc2C(=O)Nc3nc4ccccc4s3,1
CC1=CC(=C(C#N)C(=O)N1)c2ccc(Cl)cc2Cl,0
O=C(Nc1cccc(c1)N(=O)=O)C2C3CC\C=C/CCC23,0
C\C(=N/NC(=O)c1occc1)\c2ccc(NC(=O)C(F)(F)F)cc2,0
COc1ccc(CNc2ccc(Cl)cc2)cc1Cn3ccnc3,1
CN(C)c1ccc(CNCC2CCCO2)cc1,1
COc1cccc(CNC(=S)NC2CC2)c1,1
Cc1cccc(C)c1NC(=O)[C@@]2(CC(=O)O)CC(=NO2)\C=C\c3ccccc3,1
CCOCCCNC(=O)c1cc2C(=O)N3C=CC=C(C)C3=Nc2s1,0
ON1C(=O)c2cccc3c(ccc(C1=O)c23)N(=O)=O,1
CC12CCC(=O)N1C(CS2)C(=O)NCCc3ccccc3,1
Cc1ccc(cc1)S(=O)(=O)NCC(=O)OCC(=O)NCc2occc2,1
CN(C)c1ccc(cn1)S(=O)(=O)N2CCC(Cc3ccccc3)CC2,0
CC(C)NC(=O)c1cccc(NC(=O)C2=C(C)OCCS2)c1,1
CCOC(=O)Cc1csc(NS(=O)(=O)c2ccc(cc2)N(=O)=O)n1,1
CCCCNC(=S)Nc1ccc(F)cc1,1
CNC(=O)c1c(C)c(C)sc1NC(=O)c2ccc3ncsc3c2,0
CCc1ccccc1NC(=O)c2cnn(c2C)c3ccccc3,1
Cc1ccc(CN2C(SCC2=O)c3ccccc3F)cc1,1
CN1C(=O)N(CC(=O)NC2CCCC2)c3ccccc3C1=O,1
Clc1cccc(NC(=O)NCCN2CCCCC2)c1Cl,0
CC1(C)CN(C(Cc2ccccc2)C(=O)N)C1=O,1
Cc1c(N)cc[n+](CC(=O)c2ccccc2)c1C,1
Fc1ccc(cc1)N2CCN(CC2)c3ccc(cn3)N(=O)=O,0
CCOc1ccccc1N\C=C/2\C(=O)Oc3ccccc3C2=O,0
CCOC(=O)C1CCN(CC1)C(=O)c2cc3c(C)cc(C)cc3[nH]2,0
CC(=C1C(=O)NC(=O)NC1=O)NCCCO,1
COc1ccc(cc1)C(=O)NCC(=O)OCC(=O)NCc2ccc3OCOc3c2,1
Clc1cc(Cl)cc(c1)S(=O)(=O)NCC2CC2,1
Cc1cc2c(SCC(=O)NCC3CCCO3)ncnc2s1,1
COc1cc(C=O)ccc1OC(=O)c2cccnc2,1
Brc1ccc(NC(=O)c2cccc(c2)S(=O)(=O)N3CCCC3)nc1,0
CC(=O)NCc1ccc(cc1)C(=O)O,1
Clc1ccccc1c2nnc3CSc4ccccc4n23,1
COc1ccc(cc1)C2=NOC(=O)N2Cc3ccccc3F,1
COc1ccc(OCC(=O)c2c[nH]c3ccccc23)cc1,0
Clc1ccc(c(NC(=O)C2CC2)c1)n3cncn3,1
NC1=CC(=O)N(Cc2ccccc2)C(=O)N1c3ccc(F)cc3,1
CC1(CC1(Cl)Cl)C(=O)NCCOc2ccccc2Cl,1
Fc1ccc(C(=O)Nc2cnccn2)c(Cl)c1,1
CN(C1CCN(C)CC1)C(=O)c2ccc(Cl)c(c2)S(=O)(=O)Nc3ccc(C)c(Cl)c3,1
CCc1ccccc1NC(=O)C2CCCN(C2)c3ncccn3,0
CCN(CC)S(=O)(=O)c1nnc(NC(=O)c2occc2)s1,1
Clc1ccc(c(NC(=O)c2cncc(Br)c2)c1)n3cncn3,0
Clc1ccc(C(=O)NCc2occc2)c(c1)N(=O)=O,1
FC(F)(F)c1ccc(cc1)C(=O)n2ccc(n2)c3cccs3,0
COc1cc(OC)c(cc1OC)C(=O)NCC2CCCO2,1
Nn1c(SCc2ccccc2)nnc1C3CCCCC3,1
C\C(=N/NC(=O)c1ccncc1)\CC(=O)Nc2ccc(Cl)cc2Cl,1
Cc1c(cccc1c2oc(\C=N\n3cnnc3)cc2)C(=O)O,1
CCOC(=O)CSc1cc(nc2ncnn12)c3ccccc3,1
Cc1ccc(CSc2ccc3nnc(c4ccccn4)n3n2)cc1,0
COC(=O)C1=NN(C=CC1=O)c2ccc(C)cc2,1
COc1ccc(\C=N\Nc2ccccc2C(=O)O)cc1Cn3cc(cn3)N(=O)=O,1
CCOc1ccc(NC(=O)CCC(=O)c2ccc(F)cc2)cc1,0
CC(=O)NC(CC(=O)O)c1ccc(F)cc1,1
CCOP(=O)(OCC)C(Nc1cccc(c1)N(=O)=O)c2ccccc2,0
Cc1ccc(Cl)c2sc(NC(=O)C3=COCCO3)nc12,0
CCC(C)c1ccc(NC(=O)N2CCOCC2)cc1,1
COCCNC(=O)C(NC(=O)C1CCC(C)CC1)C(C)C,1
CNc1snc(C)c1C(=O)OC(C)C(=O)Nc2ccc(F)cc2,1
CC1CC(CN)CC(CO)C1,1
CC(Nc1ccc2ccccc2c1)C(=O)N\N=C\c3ccncc3,1
O=C(NNC(=O)c1cccs1)c2ccncc2,1
CN1N(C(=O)C(=C1C)NS(=O)(=O)c2ccc(N)cc2)c3ccccc3,1
CCOc1ccccc1OCC(=O)Nc2ccc(cc2)S(=O)(=O)N,0
Cn1c(CCNC(=O)c2occc2)nc3cc(ccc13)N(=O)=O,1
COc1ccc2nc(NC(=O)c3oc(cc3)N(=O)=O)sc2c1,0
CC1CC(C)CN(C1)C(=O)COC(=O)C2=Cc3ccccc3OC2=O,1
